no,name,rarity,attribute,story,cutin1,cutin2,cutin3
701,[夢僧]シュウスイ,6,火,彼は全てを知っていた。あらゆる事が、彼の描いた通りとなった。和ノクニの戦、そしてその終わり。焼けた野原に一人立ち、シュウスイは沈む夕陽を眺める。こうなることを分かっていながら、彼にはそれが止められなかった。否、心のどこかで願っていた。決して描いた通りにならぬように、と。しかし、地は燃え、人は死んだ。全てはやはり描いた通りのものとなった。ならば、と彼は絵巻を綴る。ならば、望んだ世界を描くまで、と。,描く、輪廻を,救いの世界に達するまで,道を、描く
702,レッド・サハラン,6,火,愛機のダハーカ、しっかり者の義妹ショコラとともに、ソロのハンターとして生計を立てているイヌヒトの青年。典型的な熱血漢で言葉遣いも荒っぽいが、根は素直で優しく面倒見のいいガキ大将タイプ。9年前、ダハーカと一緒にいるところを孤児院に拾われたが、本人には拾われる以前の記憶がなく、なぜダハーカと一緒だったかもわからない。その出生を含め、彼の正体は謎に包まれている。だが、本人はまったく気にしていない。,最後に笑うのは、俺だ！,へへっ、もらったぜ！,テメェは、逃がさねぇぜ！
703,エル・メリゼ,6,光,一見少年のように見えるがネコヒトの少女である。クーバースからメダリオンを取り返すためヒンデンブルグに潜入中だったが、ラーレス復活時の事故で気を失っていたところをレッドに救われた。常に冷静な態度を崩さず、時折厳しい物言いをするため、冷たい印象を与えてしまう。強がっているが、ムシが苦手。代々ティタノマキナを封印する役割を担ってきた「契約者の一族」の末裔であり、レッドを利用して復活したティタノマキナ「ラーレス」を封印しようとするが……。,バカですか……？,オーリー・ルーサ！！,フゥ……落ち着きますね
704,ショコラ・ジェラート,6,水,レッドの義妹のイヌヒトの少女。孤児院時代からレッドと共に育ち、かなりの世話焼き。常に通信でレッドの行動を補佐してくれる、優秀なナビゲーターでもある。金銭に関しては非常に細かく、厳しい。レッドの金銭感覚がいい加減なため、必然的にそうなった。メカ好きで、飛行艇アスモデウスの操縦も一級品。4歳の頃から操縦しているため9年のキャリアがある。緊急時には非常に荒っぽい操縦もこなす。できた妹である。,アモデウス、発進するよ！,弱点はそこだよっ！,はむはむ……っ！？
705,ベルーガ・ダミアン,6,火,エルと同じくティタノマキナを封印する役割を担ってきた「契約者の一族」の末裔。レッドとエルの行く先に現れては彼らの邪魔をする。クーバースと組んでティタノマキナ”ラーレス”を復活させようとしているが、その真意は不明である。乗機はロボ「サラマンデル」と高速飛空艇「スメーグ」。,ここは引き受けた……,次は、外さん……！,3秒……いのれ、風に……！
706,オペラ・クランツ,6,闇,クーバースの精鋭部隊である特務室の室長。20歳だが大人びて見える。常に楽観的で高飛車な性格をしており、少し間延びするお姉さま口調とも相まって非常にマイペースな印象を与える。ブルーノの命令を受け暗躍しているが、手荒な真似や人道的に問題があるやり方には抵抗を感じている。愛機であるティアマトというロボを所有しているが、職務上現場に出張ることは少なく、母艦ロイヤルエンヴィで艦長を務めていることのほうが多い。,アハァン♪,アタシの勝ちよォ♪,消し炭にしてあげるわァ♪
707,[忘却王]ジオ,5,水,波が静かに寄せる音が聞こえる。その浜辺で目を覚ました彼は身を起こし、やがてゆっくりと立ち上がる。月が照らし出す海面には、歪んだ月が漂っていた。そこが果たして何処であるのか、それが彼には分からなかった。否、そうでは無い。彼は自身のこと、その全てを覚えてはいなかった。即ち、己が何者であり、そしてなぜ其処に在るのか。問いたる者無く、また応える者無く、波だけが返り、月は静かに揺れ続ける。,全てここから始めるまでだ,名など俺には必要無い,全て躯が覚えている
708,[絶忘王]ジオ,6,水,雨の音、竜の咆号、そして戦士たちの怒号が聞こえる。意識を取り戻した彼は身を起こし、瞬時に状況を把握する。そこが果たして何処であるのか、それが彼には分からなかったが、今、戦争のただ中に居る事だけは彼にも解った。迫り来る竜の頭を一刀のもとにはね落とすと、膝をついていた体勢から素早く立ち上がる。周囲には幾百もの竜と泥にまみれた戦士たち。自身の名すら分からぬ彼は、しかし、その戦いの意味も知らず、ただ無常のままに激なる刃を振るい続ける,憤怒の念は忘れはしない！！,過去も未来も必要無い,この身に刻みし幾千の呪い
709,[牢獄王]ヴェル,5,火,生まれながらに罪を背負う者たち。人と似て、しかし人とは異なる理の中に生きるそれらを総じて「咎人」という。おとぎ話の中で語られて来た幻想の亡霊、身体の一部、或いはその魂全てが竜化した者、そして永遠の刻を生きる者。それらはこの「歴史」が生んだ失敗作であり、囚われ処刑される運命にある。或る海域に存在する巨大な牢獄。咎に満ちた魂を困え、縛り、滅するその煉獄の主の名はヴェルトギリアム。この世界の、始まりの咎人である。,百年経ったら遊んであげるわ,貴方はここから出れはしない,所詮全ては囚われの魂
710,[監獄王]ヴェル,6,火,巨大な門がゆっくり開き外界の光が牢獄に射す。暗闇の中で白と黒の狼、或いは少女の姿をした狩人が手にした銃を静かに構える。やがて巨門が開いた時、対なる少女は引き金を引いた。連なる轟音。幾千もの弾丸が開いた門へと見舞われる。やがて掃射が止んだ時、地面はえぐれ、門には無数の弾痕が刻まれていた。しかしそこには塵一つほどの傷も無い白髪の軍人の姿。二人の少女は満足げな笑みを浮かべ道を開ける。そして少女らの主たる煉獄の王が、深い闇から現れた。,千年経ったら殺してあげるわ,あなたの錠、外してあげる,囚われ朽ちる魂よ
